GlnR|GlnR_Glutamicibacter_protophormiae_	UDG98472.1	54.124	194	86	4.46e-69	210
GlnR|GlnR_Glutamicibacter_protophormiae_	UDH01341.1	48.611	216	96	2.46e-56	177
GlnR|GlnR_Glutamicibacter_protophormiae_	UDG95705.1	33.152	184	79	1.51e-23	92.4
GlnR|GlnR_Glutamicibacter_protophormiae_	UDG96908.1	34.500	200	87	2.56e-20	83.6
GlnR|GlnR_Glutamicibacter_protophormiae_	UDG99880.1	34.921	189	82	1.26e-19	81.6
GlnR|GlnR_Glutamicibacter_protophormiae_	UDH01085.1	31.073	177	78	3.22e-18	78.2
GlnR|GlnR_Glutamicibacter_protophormiae_	UDG98601.1	33.149	181	77	4.66e-17	75.1
GlnR|GlnR_Glutamicibacter_protophormiae_	UDG95920.1	31.638	177	79	7.89e-17	73.9
GlnR|GlnR_Glutamicibacter_protophormiae_	UDG99216.1	32.203	177	77	2.55e-13	64.7
GlnR|GlnR_Paractinoplanes_abujensis_	UDG98472.1	58.659	179	72	1.43e-66	204
GlnR|GlnR_Paractinoplanes_abujensis_	UDH01341.1	49.065	214	86	3.21e-54	172
GlnR|GlnR_Paractinoplanes_abujensis_	UDH01085.1	32.979	188	74	9.49e-25	96.3
GlnR|GlnR_Paractinoplanes_abujensis_	UDG95920.1	34.270	178	72	2.22e-23	92.4
GlnR|GlnR_Paractinoplanes_abujensis_	UDG99880.1	34.054	185	74	2.77e-23	92.0
GlnR|GlnR_Paractinoplanes_abujensis_	UDG98601.1	32.474	194	72	7.20e-19	80.5
GlnR|GlnR_Rhodococcus_erythropolis_	UDH01064.1	48.718	117	95	3.77e-34	112
GlnR|GlnR_Rhodococcus_opacus_	UDG98472.1	98.805	251	99	3.41e-178	488
GlnR|GlnR_Rhodococcus_opacus_	UDH01341.1	73.182	220	87	2.61e-101	292
GlnR|GlnR_Rhodococcus_opacus_	UDG95705.1	35.263	190	72	4.47e-24	94.4
GlnR|GlnR_Rhodococcus_opacus_	UDG99880.1	33.333	192	75	4.46e-18	78.2
GlnR|GlnR_Rhodococcus_opacus_	UDG99216.1	30.622	209	81	1.01e-13	66.2
GlnR|GlnR_Rhodococcus_ruber_	UDG98472.1	90.308	227	93	4.56e-138	385
GlnR|GlnR_Rhodococcus_ruber_	UDH01341.1	73.636	220	90	1.84e-103	297
GlnR|GlnR_Rhodococcus_ruber_	UDG95705.1	34.021	194	78	1.23e-25	98.2
GlnR|GlnR_Rhodococcus_ruber_	UDG96908.1	32.558	215	86	1.09e-18	79.7
GlnR|GlnR_Rhodococcus_ruber_	UDG99216.1	35.714	210	84	1.38e-14	68.6
GlnR|GlnR_Rhodococcus_sp._66b_	UDH01064.1	48.673	113	94	1.44e-29	101
GlnR|GlnR_Rhodococcus_sp._RD6.2_	UDG98472.1	93.304	224	87	2.37e-143	400
GlnR|GlnR_Rhodococcus_sp._RD6.2_	UDH01341.1	74.545	220	85	7.44e-103	296
GlnR|GlnR_Rhodococcus_sp._RD6.2_	UDG95705.1	33.690	187	70	1.03e-24	96.3
GlnR|GlnR_Rhodococcus_sp._RD6.2_	UDG96908.1	33.158	190	71	5.46e-17	75.5
GlnR|GlnR_Rhodococcus_sp._RD6.2_	UDG99216.1	31.100	209	79	8.37e-14	66.6
GlnR|GlnR_Rhodococcus_sp._WAY2_	UDG98472.1	96.414	251	100	1.58e-174	478
GlnR|GlnR_Rhodococcus_sp._WAY2_	UDH01341.1	70.870	230	91	1.07e-102	296
GlnR|GlnR_Rhodococcus_sp._WAY2_	UDG95705.1	35.263	190	72	6.04e-24	94.0
GlnR|GlnR_Rhodococcus_sp._WAY2_	UDG99880.1	33.333	192	75	6.19e-18	77.8
GlnR|GlnR_Rhodococcus_sp._WAY2_	UDG96908.1	32.093	215	82	8.03e-17	74.7
GlnR|GlnR_Rhodococcus_sp._WAY2_	UDG99216.1	31.100	209	81	4.50e-14	67.4
GlnR|GlnR_Streptomyces_anulatus_	UDG98472.1	64.878	205	75	3.41e-90	265
GlnR|GlnR_Streptomyces_anulatus_	UDH01341.1	56.637	226	83	1.97e-77	232
GlnR|GlnR_Streptomyces_aureoverticillatus_	UDG98472.1	61.290	217	82	8.10e-89	261
GlnR|GlnR_Streptomyces_aureoverticillatus_	UDH01341.1	56.637	226	85	6.65e-78	233
GlnR|GlnR_Streptomyces_aureoverticillatus_	UDG95705.1	35.000	200	70	2.55e-24	95.5
GlnR|GlnR_Streptomyces_paromomycinus_	UDG98472.1	64.390	205	73	2.00e-88	261
GlnR|GlnR_Streptomyces_paromomycinus_	UDH01341.1	58.257	218	78	9.78e-76	228
